term,estimate,std_error,t_statistic,p_value,conf_low,conf_high,model,initial_price_adjusted,component,sale_year
sale_year::2017:treated,82478.0813775459,40074.4250815156,2.05812263581516,0.0430069296295311,2662.94659543413,162293.216159658,event_hedonic_dollars,0,treatment,2017
sale_year::2018:treated,57561.1379216166,33866.169699065,1.69966484055047,0.0932836530678431,-9889.18466158927,125011.460504822,event_hedonic_dollars,0,treatment,2018
sale_year::2008:initial_price_100k,12051.3390614425,6461.69954206383,1.86504169421554,0.0660356753715462,-818.250928239491,24920.9290511245,event_hedonic_dollars,1,initial_price_year,2008
sale_year::2008:treated,98.3355084855575,18563.2159092513,0.00529733150582763,0.9957872411815,-36873.5131648903,37070.1841818614,event_hedonic_dollars,1,treatment,2008
sale_year::2009:initial_price_100k,1856.99740442085,3497.08598690405,0.531012795045637,0.596958375464608,-5108.05296926813,8822.04777810983,event_hedonic_dollars,1,initial_price_year,2009
sale_year::2009:treated,7688.69056829781,16326.3990911838,0.470936091011622,0.639035307593737,-24828.1513157405,40205.5324523362,event_hedonic_dollars,1,treatment,2009
sale_year::2010:initial_price_100k,-8522.33799467798,5215.12886710647,-1.63415674125162,0.106361889365396,-18909.1673150611,1864.49132570518,event_hedonic_dollars,1,initial_price_year,2010
sale_year::2010:treated,-14969.8788476419,16125.1458002922,-0.928356185614812,0.356161956662622,-47085.8900646105,17146.1323693266,event_hedonic_dollars,1,treatment,2010
sale_year::2011:initial_price_100k,-9021.12107964026,4972.96922374782,-1.81403114995383,0.0736198003101831,-18925.6476711847,883.405511904162,event_hedonic_dollars,1,initial_price_year,2011
sale_year::2011:treated,5915.20946035392,15027.988912209,0.393612844333968,0.69496901289611,-24015.6244341365,35846.0433548443,event_hedonic_dollars,1,treatment,2011
sale_year::2013:initial_price_100k,11403.3041540392,4038.52484840053,2.82363104898451,0.00605953506515623,3359.88483011049,19446.7234779679,event_hedonic_dollars,1,initial_price_year,2013
sale_year::2013:treated,7687.5236374677,14989.3756369661,0.512864833309607,0.609533391864235,-22166.4052543527,37541.4525292881,event_hedonic_dollars,1,treatment,2013
sale_year::2014:initial_price_100k,20108.2121147979,6814.49221465639,2.95080124554985,0.0042122550273858,6535.97462222992,33680.4496073658,event_hedonic_dollars,1,initial_price_year,2014
sale_year::2014:treated,16130.109512569,23690.1951948919,0.680877020213281,0.498018581142604,-31053.0033742328,63313.2223993707,event_hedonic_dollars,1,treatment,2014
sale_year::2015:initial_price_100k,29778.9843615665,5551.92833002255,5.36371916051834,8.49360773462726e-07,18721.3607759504,40836.6079471827,event_hedonic_dollars,1,initial_price_year,2015
sale_year::2015:treated,24052.4523178285,28771.2920972905,0.835987908936967,0.405782397625566,-33250.5420964309,81355.4467320879,event_hedonic_dollars,1,treatment,2015
sale_year::2016:initial_price_100k,41456.7853940168,6611.34465768183,6.27055274540066,2.00509770540902e-08,28289.1513263913,54624.4194616423,event_hedonic_dollars,1,initial_price_year,2016
sale_year::2016:treated,41905.3332001205,23869.6398026901,1.7555913514622,0.0831874556627856,-5635.17459698141,89445.8409972225,event_hedonic_dollars,1,treatment,2016
sale_year::2017:initial_price_100k,46769.0723537408,8759.24079192388,5.33939795294388,9.3640719120638e-07,29323.5323871838,64214.6123202979,event_hedonic_dollars,1,initial_price_year,2017
sale_year::2017:treated,51596.0326645705,28434.5235443293,1.81455590715746,0.0735382296691063,-5036.22904696644,108228.294376108,event_hedonic_dollars,1,treatment,2017
sale_year::2018:initial_price_100k,41453.7813032015,10287.3381840369,4.02959254975464,0.000131420655199142,20964.7716159035,61942.7909904994,event_hedonic_dollars,1,initial_price_year,2018
sale_year::2018:treated,31979.2916042761,27217.0793452039,1.1749714654784,0.243674291578747,-22228.219842092,86186.8030506443,event_hedonic_dollars,1,treatment,2018
sale_year::2008:treated,-0.0617257482684119,0.113225751607089,-0.545156445351847,0.587242264090865,-0.287234376450682,0.163782879913858,event_hedonic_log,0,treatment,2008
sale_year::2009:treated,-0.0159375814290229,0.103755668491015,-0.153606850216603,0.878326874964948,-0.222584904457949,0.190709741599903,event_hedonic_log,0,treatment,2009
sale_year::2010:treated,-0.119748099260562,0.0900216798969562,-1.33021400397807,0.187425807521803,-0.29904181338553,0.059545614864405,event_hedonic_log,0,treatment,2010
sale_year::2011:treated,-0.0561496878162694,0.0958029705625268,-0.586095477901937,0.559548006441304,-0.246957840208248,0.134658464575709,event_hedonic_log,0,treatment,2011
sale_year::2013:treated,-0.00238922786426365,0.0776689426103612,-0.0307616890865838,0.975540234441316,-0.157080333481383,0.152301877752856,event_hedonic_log,0,treatment,2013
sale_year::2014:treated,0.0461972094945891,0.0793598971723794,0.582122849708879,0.562206865588557,-0.111861724007856,0.204256142997034,event_hedonic_log,0,treatment,2014
sale_year::2015:treated,-0.049325519030777,0.101767836151099,-0.484686723195545,0.629292615358751,-0.252013730835726,0.153362692774172,event_hedonic_log,0,treatment,2015
sale_year::2016:treated,-0.00984268961162083,0.0947008447562966,-0.103934549231847,0.917495077726375,-0.198455768222948,0.178770388999707,event_hedonic_log,0,treatment,2016
sale_year::2017:treated,0.0136722678415078,0.0982447870260611,0.139165326277119,0.889687624983622,-0.181999183518672,0.209343719201687,event_hedonic_log,0,treatment,2017
sale_year::2018:treated,0.0054287808406116,0.098604576045802,0.0550560740516741,0.956238268254873,-0.190959252455437,0.20181681413666,event_hedonic_log,0,treatment,2018
sale_year::2008:initial_price_100k,-0.12864569001202,0.0196476931065059,-6.54762313899446,6.16826954621134e-09,-0.167777462214952,-0.089513917809088,event_hedonic_log,1,initial_price_year,2008
sale_year::2008:treated,0.0189161343581323,0.093289893729914,0.20276724092855,0.839858824030014,-0.166886791740399,0.204719060456663,event_hedonic_log,1,treatment,2008
sale_year::2009:initial_price_100k,-0.0164305479059921,0.0180082346038435,-0.912390818280727,0.364448201683243,-0.0522970555145224,0.0194359597025382,event_hedonic_log,1,initial_price_year,2009
sale_year::2009:treated,0.00315078736636415,0.105976568749748,0.0297309811360696,0.976359539886434,-0.207919841876634,0.214221416609362,event_hedonic_log,1,treatment,2009
sale_year::2010:initial_price_100k,-0.0365122118933035,0.0191188056468927,-1.90975380824783,0.0599385813459827,-0.0745906134293395,0.00156618964273256,event_hedonic_log,1,initial_price_year,2010
sale_year::2010:treated,-0.0894348757713998,0.0953202958786846,-0.938256380207052,0.351084950031361,-0.279281698216201,0.100411946673401,event_hedonic_log,1,treatment,2010
sale_year::2011:initial_price_100k,-0.0582993216574514,0.0215090226925519,-2.71045888466328,0.00830164194497781,-0.101138253014433,-0.0154603903004702,event_hedonic_log,1,initial_price_year,2011
sale_year::2011:treated,-0.0217182994625564,0.0952097302435863,-0.228110082939968,0.820173276929704,-0.211344911360364,0.167908312435252,event_hedonic_log,1,treatment,2011
sale_year::2013:initial_price_100k,0.013494864351172,0.0167476259179191,0.805777751265221,0.422885035413083,-0.0198609234661226,0.0468506521684666,event_hedonic_log,1,initial_price_year,2013
sale_year::2013:treated,-0.00229473677398939,0.0781215838541135,-0.0293739151304798,0.976643376140228,-0.157887355558286,0.153297882010307,event_hedonic_log,1,treatment,2013
sale_year::2014:initial_price_100k,-0.000796135784811469,0.0197392064564997,-0.040332714821437,0.967933639099906,-0.040110172620343,0.03851790105072,event_hedonic_log,1,initial_price_year,2014
